world_cup,model,validation_log_loss,ensemble_weight
2010,elo_market_free,0.9294197230877004,0.19306943210519245
2010,rich_logistic,0.9359821253079839,0.18930560547822178
2010,weighted_rich_logistic,0.8920216890824927,0.2159925633304345
2010,random_forest_rich,0.9417680129688477,0.18604805608794192
2010,xgboost_rich,0.8926522765057813,0.21558434299820925
2014,elo_market_free,0.9385628352161778,0.19034224734210636
2014,rich_logistic,0.9324193233869708,0.19388288458225095
2014,weighted_rich_logistic,0.8966538393492512,0.21584288120347647
2014,random_forest_rich,0.9431657787076826,0.1877319078630834
2014,xgboost_rich,0.9023275535660582,0.21220007900908286
2018,elo_market_free,0.9360174153222931,0.19133557241934637
2018,rich_logistic,0.928323830050602,0.1958031006823721
2018,weighted_rich_logistic,0.897152851250356,0.21499666198133552
2018,random_forest_rich,0.9421067128089631,0.1878720070980551
2018,xgboost_rich,0.9050028295836431,0.20999265781889084
2022,elo_market_free,0.9192766142856106,0.18981076240969286
2022,rich_logistic,0.9093000680543968,0.1955775991387362
2022,weighted_rich_logistic,0.8789199747203914,0.21424013395808467
2022,random_forest_rich,0.9197401026153079,0.18954702059438253
2022,xgboost_rich,0.8842771579744669,0.21082448389910363
